Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1515969297000,cc:d5:39:89:2f:0f,-86,SJSU_premier,-121.88527248,37.33840275,31,[WPA2-EAP-CCMP][ESS][BLE],,-5500
1515969297000,cc:d5:39:89:2f:1d,-88,SJSU_Guest,-121.88527248,37.33840275,31,[ESS][BLE],,-5260
1515969299000,cc:d5:39:89:2f:1e,-89,eduroam,-121.885344,37.33831421,28,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969297000,cc:d5:39:89:2f:1f,-88,SJSU_premier,-121.88527248,37.33840275,31,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969329000,cc:d5:39:89:30:40,-76,SJSU_premier,-121.88533861,37.33817558,76,[WPA2-EAP-CCMP][ESS][BLE],,12412
1515969329000,cc:d5:39:89:30:41,-76,eduroam,-121.88533861,37.33817558,76,[WPA2-EAP-CCMP][ESS][BLE],,12412
1515969329000,cc:d5:39:89:30:42,-76,SJSU_Guest,-121.88533861,37.33817558,76,[ESS][BLE],,12412
1515969329000,cc:d5:39:89:30:43,-75,SJSU_MyDevice,-121.88533861,37.33817558,76,[ESS][P2P][BLE],,12412
1515969329000,cc:d5:39:89:30:4c,-76,SJSU_MyDevice,-121.88533861,37.33817558,76,[ESS][P2P][BLE],,-5180
1515969329000,cc:d5:39:89:30:4d,-75,SJSU_Guest,-121.88533861,37.33817558,76,[ESS][BLE],,-5180
1515969329000,cc:d5:39:89:30:4e,-76,eduroam,-121.88533861,37.33817558,76,[WPA2-EAP-CCMP][ESS][BLE],,-5180
1515969332000,cc:d5:39:89:30:4f,-77,SJSU_premier,-121.88526178,37.33816745,76,[WPA2-EAP-CCMP][ESS][BLE],,-5180
1515969397000,cc:d5:39:89:37:f0,-87,SJSU_premier,-121.88166378,37.33678398,5,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969379000,cc:d5:39:89:37:f4,-90,SJSU_MyDevice,-121.88164882,37.33691151,11,[ESS][P2P][BLE],,-5580
1515969391000,cc:d5:39:89:37:fc,-86,SJSU_MyDevice,-121.88163839,37.33683652,5,[ESS][P2P][BLE],,-5580
1515969382000,cc:d5:39:89:37:fd,-89,SJSU_Guest,-121.88163765,37.3368942,9,[ESS][BLE],,-5580
1515969391000,cc:d5:39:89:37:fe,-88,eduroam,-121.88163839,37.33683652,5,[WPA2-EAP-CCMP][ESS][BLE],,-5580
1515969391000,cc:d5:39:89:37:ff,-88,SJSU_premier,-121.88163839,37.33683652,5,[WPA2-EAP-CCMP][ESS][BLE],,-5580
1515969394000,cc:d5:39:89:38:80,-84,SJSU_premier,-121.88164784,37.33680986,5,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969391000,cc:d5:39:89:38:81,-86,eduroam,-121.88163839,37.33683652,5,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969391000,cc:d5:39:89:38:83,-86,SJSU_MyDevice,-121.88163839,37.33683652,5,[ESS][P2P][BLE],,112462
1515969391000,cc:d5:39:89:38:84,-88,SJSU_MyDevice,-121.88163839,37.33683652,5,[ESS][P2P][BLE],,-5220
1515969397000,cc:d5:39:89:38:85,-87,SJSU_Guest,-121.88166378,37.33678398,5,[ESS][BLE],,-5220
1515969397000,cc:d5:39:89:38:86,-87,eduroam,-121.88166378,37.33678398,5,[WPA2-EAP-CCMP][ESS][BLE],,-5220
1515969391000,cc:d5:39:89:38:87,-88,SJSU_premier,-121.88163839,37.33683652,5,[WPA2-EAP-CCMP][ESS][BLE],,-5220
1515969399000,cc:d5:39:89:38:8c,-87,SJSU_MyDevice,-121.88167439,37.33676861,5,[ESS][P2P][BLE],,-5220
1515969399000,cc:d5:39:89:38:8d,-84,SJSU_Guest,-121.88167439,37.33676861,5,[ESS][BLE],,-5220
1515969391000,cc:d5:39:89:38:8e,-86,eduroam,-121.88163839,37.33683652,5,[WPA2-EAP-CCMP][ESS][BLE],,-5220
1515969397000,cc:d5:39:89:38:8f,-84,SJSU_premier,-121.88166378,37.33678398,5,[WPA2-EAP-CCMP][ESS][BLE],,-5220
1515969397000,cc:d5:39:89:39:7f,-89,SJSU_premier,-121.88166378,37.33678398,5,[WPA2-EAP-CCMP][ESS][BLE],,-5200
1515969382000,cc:d5:39:89:39:d2,-80,SJSU_Guest,-121.88163765,37.3368942,9,[ESS][BLE],,12412
1515969394000,cc:d5:39:89:3b:b0,-86,SJSU_premier,-121.88164784,37.33680986,5,[WPA2-EAP-CCMP][ESS][BLE],,12412
1515969388000,cc:d5:39:89:3b:b2,-87,SJSU_Guest,-121.88163664,37.33685083,6,[ESS][BLE],,12412
1515969332000,cc:d5:39:89:3e:61,-86,eduroam,-121.88526178,37.33816745,76,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969329000,cc:d5:39:89:3e:62,-83,SJSU_Guest,-121.88533861,37.33817558,76,[ESS][BLE],,112462
1515969329000,cc:d5:39:89:3e:63,-85,SJSU_MyDevice,-121.88533861,37.33817558,76,[ESS][P2P][BLE],,112462
1515969332000,cc:d5:39:89:3e:64,-87,SJSU_MyDevice,-121.88526178,37.33816745,76,[ESS][P2P][BLE],,-5260
1515969349000,cc:d5:39:89:3e:65,-86,SJSU_Guest,-121.88176898,37.33653379,43,[ESS][BLE],,-5260
1515969353000,cc:d5:39:89:3e:66,-87,eduroam,-121.88193557,37.33684577,40,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969349000,cc:d5:39:89:3e:67,-87,SJSU_premier,-121.88176898,37.33653379,43,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969349000,cc:d5:39:89:3e:6d,-90,SJSU_Guest,-121.88176898,37.33653379,43,[ESS][BLE],,-5260
1515969332000,cc:d5:39:89:3e:6f,-86,SJSU_premier,-121.88526178,37.33816745,76,[WPA2-EAP-CCMP][ESS][BLE],,-5260
1515969431000,f0:29:29:2a:a8:e2,-87,eduroam,-121.88194388,37.33655585,3,[WPA2-EAP-CCMP][ESS][BLE],,-5540
1515969299000,f0:29:29:2a:af:d0,-85,SJSU_premier,-121.885344,37.33831421,28,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969302000,f0:29:29:2a:af:d1,-84,eduroam,-121.8853621,37.33827662,13,[WPA2-EAP-CCMP][ESS][BLE],,112462
1515969297000,f0:29:29:2a:af:d2,-85,SJSU_Guest,-121.88527248,37.33840275,31,[ESS][BLE],,112462
1515969302000,f0:29:29:2a:af:d3,-85,SJSU_MyDevice,-121.8853621,37.33827662,13,[ESS][P2P][BLE],,112462
1515969302000,f0:29:29:2a:e5:e0,-77,SJSU_premier,-121.8853621,37.33827662,13,[WPA2-EAP-CCMP][ESS][BLE],,12412
1515969302000,f0:29:29:2a:e5:e1,-77,eduroam,-121.8853621,37.33827662,13,[WPA2-EAP-CCMP][ESS][BLE],,12412
